기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,평균 인원,전회차 인원
더조은컴퓨터아카데미학원,(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동),IT부트캠프 프로젝트 기반 AWS 자바(스프링부트&리액트) 풀스택 개발자 양성,1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-06-08,2023-12-14,1040,20,13,13,9.3,해당 정보 없음
더조은컴퓨터아카데미학원,(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동),IT부트캠프 프로젝트 기반 AWS 자바(스프링부트&리액트) 풀스택 개발자 양성,2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-08-17,2024-02-26,1040,20,7,7,9.3,13
더조은컴퓨터아카데미학원,(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동),IT부트캠프 프로젝트 기반 AWS 자바(스프링부트&리액트) 풀스택 개발자 양성,3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-09-25,2024-04-09,1040,20,10,10,9.3,7
더조은컴퓨터아카데미학원,(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동),IT부트캠프 프로젝트 기반 AWS 자바(스프링부트&리액트) 풀스택 개발자 양성,4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-08,2024-07-25,1040,20,9,9,9.3,10
더조은컴퓨터아카데미학원,(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동),IT부트캠프 프로젝트 기반 AWS 자바(스프링부트&리액트) 풀스택 개발자 양성,5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-06,2024-09-10,1040,20,18,18,9.3,9
더조은컴퓨터아카데미학원,(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동),IT부트캠프 프로젝트 기반 AWS 자바(스프링부트&리액트) 풀스택 개발자 양성,6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-05-16,2024-11-22,1040,20,12,12,9.3,18
더조은컴퓨터아카데미학원,(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동),IT부트캠프 프로젝트 기반 AWS 자바(스프링부트&리액트) 풀스택 개발자 양성,7회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-09-02,2025-03-26,1040,20,11,11,9.3,12
더조은컴퓨터아카데미학원,(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동),IT부트캠프 프로젝트 기반 AWS 자바(스프링부트&리액트) 풀스택 개발자 양성,8회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-10-22,2025-05-07,1040,20,13,13,9.3,11
더조은컴퓨터아카데미학원,(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동),IT부트캠프 프로젝트 기반 AWS 자바(스프링부트&리액트) 풀스택 개발자 양성,9회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-03-24,2025-09-25,1040,20,0,0,9.3,13
더조은컴퓨터아카데미학원,(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동),IT부트캠프 프로젝트 기반 AWS 자바(스프링부트&리액트) 풀스택 개발자 양성,10회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-03-04,2025-09-05,1040,20,0,0,9.3,해당 정보 없음
KH정보교육원 강남지원,"(135933) 서울특별시 강남구 테헤란로14길 6 남도빌딩 2,3,4층",(디지털컨버전스)공공데이터 융합 자바개발자 양성과정A30(1),1회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2024-01-09,2024-06-24,888,30,28,28,28.0,해당 정보 없음
KH정보교육원 종로지원,"(04540) 서울특별시 중구 남대문로 120 (남대문로1가 그레이츠 청계) 2층, 3층",(디지털컨버전스)공공데이터 융합 자바개발자 양성과정A1,1회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2024-01-11,2024-06-27,888,30,29,29,29.0,해당 정보 없음
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[하나은행] Digital hana 路 (데이터분석/서비스기획),1회차,빅데이터분석(20010105),K-디지털 트레이닝,2023-04-28,2023-10-27,963,34,33,33,29.2,해당 정보 없음
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[하나은행] Digital hana 路 (데이터분석/서비스기획),2회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-01-12,2024-07-11,963,30,28,28,29.2,33
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[하나은행] Digital hana 路 (데이터분석/서비스기획),3회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-01-12,2024-07-11,963,30,29,29,29.2,28
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[하나은행] Digital hana 路 (데이터분석/서비스기획),4회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-08-05,2025-02-12,963,32,28,28,29.2,29
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[하나은행] Digital hana 路 (데이터분석/서비스기획),5회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-08-05,2025-02-12,963,32,28,28,29.2,28
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[하나은행] Digital hana 路 (금융서비스개발),1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-04-28,2023-10-30,975,31,29,29,28.6,해당 정보 없음
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[하나은행] Digital hana 路 (금융서비스개발),2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-12,2024-07-12,975,30,27,27,28.6,29
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[하나은행] Digital hana 路 (금융서비스개발),3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-12,2024-07-12,975,30,29,29,28.6,27
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[하나은행] Digital hana 路 (금융서비스개발),4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-08-05,2025-02-13,975,31,30,30,28.6,29
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[하나은행] Digital hana 路 (금융서비스개발),5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-08-05,2025-02-13,975,33,28,28,28.6,30
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,AI프로젝트 글로벌표준 기반의 풀스택 딥러닝 활용SW 개발자 양성과정,1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2022-11-21,2023-05-17,960,30,16,16,22.29,해당 정보 없음
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,AI프로젝트 글로벌표준 기반의 풀스택 딥러닝 활용SW 개발자 양성과정,2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-02-13,2023-08-11,960,30,29,29,22.29,16
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,AI프로젝트 글로벌표준 기반의 풀스택 딥러닝 활용SW 개발자 양성과정,3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-03-27,2023-09-20,960,30,26,26,22.29,29
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,AI프로젝트 글로벌표준 기반의 풀스택 딥러닝 활용SW 개발자 양성과정,4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-05-31,2023-11-29,960,30,25,25,22.29,26
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,AI프로젝트 글로벌표준 기반의 풀스택 딥러닝 활용SW 개발자 양성과정,5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-15,2024-07-10,960,30,24,24,22.29,25
