기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,만족도_평균점수,만족도_응답자수,6개월후_취업률
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[하나은행] Digital hana 路 (금융서비스개발),2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-12,2024-07-12,975,30,27,27,23,28.5,29,81.7,18,47.8
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[하나은행] Digital hana 路 (금융서비스개발),3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-12,2024-07-12,975,30,29,29,21,28.5,27,76.8,16,57.2
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[하나은행] Digital hana 路 (금융서비스개발),4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-08-05,2025-02-13,975,31,30,30,6개월이 안 지났거나 해당 정보 없음,28.5,29,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[하나은행] Digital hana 路 (금융서비스개발),5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-08-05,2025-02-13,975,33,28,28,6개월이 안 지났거나 해당 정보 없음,28.5,30,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[하나은행] Digital hana 路 (데이터분석/서비스기획),2회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-01-12,2024-07-11,963,30,28,28,21,28.25,33,84.4,21,52.4
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[하나은행] Digital hana 路 (데이터분석/서비스기획),3회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-01-12,2024-07-11,963,30,29,29,24,28.25,28,81.4,23,54.2
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[하나은행] Digital hana 路 (데이터분석/서비스기획),4회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-08-05,2025-02-12,963,32,28,28,6개월이 안 지났거나 해당 정보 없음,28.25,29,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[하나은행] Digital hana 路 (데이터분석/서비스기획),5회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-08-05,2025-02-12,963,32,28,28,6개월이 안 지났거나 해당 정보 없음,28.25,28,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[RedHat] 하이브리드 클라우드 엔지니어 양성,5회차,인프라스트럭쳐아키텍처구축(20010213),K-디지털 트레이닝,2024-01-15,2024-07-11,960,24,18,18,14,16.5,22,38.8,14,42.9
대한상공회의소,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단,[RedHat] 하이브리드 클라우드 엔지니어 양성,6회차,인프라스트럭쳐아키텍처구축(20010213),K-디지털 트레이닝,2024-04-01,2024-09-30,960,24,15,15,6개월이 안 지났거나 해당 정보 없음,16.5,18,72.4,15,6개월이 안 지났거나 해당 정보 없음
멀티캠퍼스,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체",백엔드 개발자 부트캠프(스프링),21회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-15,2024-06-04,790,50,25,25,18,24.0,25,93.6,20,44.4
멀티캠퍼스,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체",백엔드 개발자 부트캠프(스프링),22회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-02-01,2024-06-25,790,50,22,22,13,24.0,25,96.6,17,53.8
