기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,평균 인원,전회차 인원
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부",데브옵스/MSA/컨테이너 기반의 클라우드 네이티브 엔지니어 전문가 과정,4회차,클라우드솔루션 아키텍처(20010214),K-디지털 트레이닝,2025-01-17,2025-07-15,960,20,0,0,4.6,해당 정보 없음
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부",데브옵스/MSA/컨테이너 기반의 클라우드 네이티브 엔지니어 전문가 과정,5회차,클라우드솔루션 아키텍처(20010214),K-디지털 트레이닝,2025-02-04,2025-07-23,960,20,0,0,4.6,해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바/파이썬/챗GPT를 활용한 AI 개발자 양성과정,1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-09-10,2025-03-24,960,30,20,20,6.67,해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바/파이썬/챗GPT를 활용한 AI 개발자 양성과정,2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-02-25,2025-08-18,960,30,1,0,6.67,20
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바/파이썬/챗GPT를 활용한 AI 개발자 양성과정,3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-20,2025-07-16,960,30,0,0,6.67,해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,인공지능(AI)활용 서비스 개발자(프론트엔드_React) 취업과정,1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-20,2025-07-29,1040,25,8,7,2.33,해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,인공지능(AI)활용 서비스 개발자(프론트엔드_React) 취업과정,2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-16,2025-07-25,1040,25,0,0,2.33,7
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,인공지능(AI)활용 서비스 개발자(프론트엔드_React) 취업과정,3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-17,2025-07-28,1040,25,0,0,2.33,해당 정보 없음
주식회사경일게임아이티아카데미,"(05248) 서울특별시 강동구 천호동 올림픽로 651(예경빌딩) 4층, 5층, 6층(401호, 501호, 502호, 602호), 10층(전체)(천호동, 예경빌딩)",[기업프로젝트] 메타버스 게임 개발자 양성,1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-17,2025-08-13,1120,30,32,27,27.0,해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,1회차,클라우드인프라스트럭쳐엔지니어링(20010215),K-디지털 트레이닝,2024-07-09,2025-01-06,960,30,27,27,13.0,해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,2회차,클라우드인프라스트럭쳐엔지니어링(20010215),K-디지털 트레이닝,2024-10-15,2025-04-15,960,30,17,17,13.0,27
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,3회차,클라우드인프라스트럭쳐엔지니어링(20010215),K-디지털 트레이닝,2024-11-12,2025-05-14,960,30,21,21,13.0,17
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,4회차,클라우드인프라스트럭쳐엔지니어링(20010215),K-디지털 트레이닝,2025-02-04,2025-07-29,960,30,25,0,13.0,21
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,5회차,클라우드인프라스트럭쳐엔지니어링(20010215),K-디지털 트레이닝,2025-01-20,2025-07-16,960,30,0,0,13.0,해당 정보 없음
유비온디지털교육센터,(08391) 서울특별시 구로구 디지털로32나길 22 5층 유비온디지털교육센터,융합_프로젝트 기반 에듀테크 기획자,1회차,빅데이터분석(20010105),K-디지털 트레이닝,2025-01-17,2025-06-12,746,30,7,5,5.0,해당 정보 없음
주식회사 이젠컴퓨터아카데미,"(01695) 서울특별시 노원구 상계로 64 (상계동 화랑빌딩) 4호선 2번출구 앞 화랑빌딩(롯데리아)7F,4F일부 / 서울특별시 중랑구 망우로 319 명진빌딩 4F",AI기반 예측 분석 시스템개발,19회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-17,2025-07-14,960,20,0,0,0.0,해당 정보 없음
주식회사 이젠컴퓨터아카데미,"(01695) 서울특별시 노원구 상계로 64 (상계동 화랑빌딩) 4호선 2번출구 앞 화랑빌딩(롯데리아)7F,4F일부 / 서울특별시 중랑구 망우로 319 명진빌딩 4F",AI기반 예측 분석 시스템개발,20회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-20,2025-07-15,960,20,0,0,0.0,해당 정보 없음
주식회사 이젠컴퓨터아카데미,"(01695) 서울특별시 노원구 상계로 64 (상계동 화랑빌딩) 4호선 2번출구 앞 화랑빌딩(롯데리아)7F,4F일부 / 서울특별시 중랑구 망우로 319 명진빌딩 4F","클라우드기반 AI Automation 스마트관리시스템(물류관리,생산관리)자바 백엔드개발",1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-12-20,2024-06-20,960,30,10,10,9.62,해당 정보 없음
