기관명,과정명,회차,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,6개월후_취업률,만족도_평균점수,만족도_응답자수,개강일,종강일,직종,훈련유형,훈련시간,주소
비트교육센터,AI 기반 웹 서비스 응용SW 개발자 양성과정,1,25,12,12,9,12.5,해당 정보 없음,55.6,95.6,9,2022-10-31,2023-05-04,응용SW엔지니어링(20010202),K-디지털 트레이닝,1032,"(06621) 서울특별시 서초구 서초동 서초대로74길 33(비트빌) 3층(일부), 4층 비트교육센터"
비트교육센터,AI 기반 웹 서비스 응용SW 개발자 양성과정,2,25,13,13,10,12.5,12,60.0,97.8,9,2022-12-26,2023-07-04,응용SW엔지니어링(20010202),K-디지털 트레이닝,1032,"(06621) 서울특별시 서초구 서초동 서초대로74길 33(비트빌) 3층(일부), 4층 비트교육센터"
팀스파르타주식회사,실무형 스프링 백엔드 엔지니어 양성과정,1,100,100,100,84,100.0,해당 정보 없음,53.6,75.5,84,2022-10-31,2023-03-08,응용SW엔지니어링(20010202),K-디지털 트레이닝,1076,(06210) 서울특별시 강남구 테헤란로44길 8 (역삼동) 12층
팀스파르타주식회사,실무형 프론트엔드 엔지니어 양성과정,1,100,100,100,89,100.0,해당 정보 없음,58.4,79.5,87,2022-10-31,2023-03-07,응용SW엔지니어링(20010202),K-디지털 트레이닝,1063,(06210) 서울특별시 강남구 테헤란로44길 8 (역삼동) 12층
(주)천재교육,프로젝트 기반 빅데이터 서비스 개발자 양성 과정,1,20,7,7,5,11.0,해당 정보 없음,100.0,96,5,2022-11-01,2023-04-28,빅데이터분석(20010105),K-디지털 트레이닝,976,(08513) 서울특별시 금천구 가산로9길 54
(주)천재교육,프로젝트 기반 빅데이터 서비스 개발자 양성 과정,2,20,15,15,11,11.0,7,100.0,85,12,2022-12-30,2023-06-30,빅데이터분석(20010105),K-디지털 트레이닝,976,(08513) 서울특별시 금천구 가산로9길 54
KH정보교육원 강남지원,Python 활용 빅데이터 기반 금융 솔루션 UI 개발자 양성과정,1,30,29,29,22,29.0,해당 정보 없음,90.9,48.8,25,2022-11-02,2023-07-05,빅데이터분석(20010105),K-디지털 트레이닝,1012,"(135933) 서울특별시 강남구 테헤란로14길 6 남도빌딩 2,3,4층"
구트아카데미학원,자바(JAVA)활용 데이터 수집 및 분석을 위한 웹 시스템 구축 과정,1,25,10,10,8,9.0,해당 정보 없음,87.5,91.4,7,2022-11-04,2023-05-12,응용SW엔지니어링(20010202),K-디지털 트레이닝,1000,"(08393) 서울특별시 구로구 시흥대로163길 33 (구로동 주호타워) 2층 일부, 3층 일부"
구트아카데미학원,자바(JAVA)활용 데이터 수집 및 분석을 위한 웹 시스템 구축 과정,2,25,8,8,6,9.0,10,83.3,96.7,6,2022-12-08,2023-06-16,응용SW엔지니어링(20010202),K-디지털 트레이닝,1000,"(08393) 서울특별시 구로구 시흥대로163길 33 (구로동 주호타워) 2층 일부, 3층 일부"
네이버클라우드주식회사,[네이버클라우드] 클라우드 기반의 AIaaS 개발자 과정,1,30,29,29,20,28.67,해당 정보 없음,45.0,80,23,2022-11-07,2023-05-04,응용SW엔지니어링(20010202),K-디지털 트레이닝,1004,"(13561) 경기도 성남시 분당구 불정로 6(정자동, 네이버 그린팩토리) ."
네이버클라우드주식회사,[네이버클라우드] 클라우드 기반의 AIaaS 개발자 과정,2,30,28,28,20,28.67,29,55.0,92.4,21,2022-12-26,2023-06-27,응용SW엔지니어링(20010202),K-디지털 트레이닝,1004,"(13561) 경기도 성남시 분당구 불정로 6(정자동, 네이버 그린팩토리) ."
