기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,평균 인원,전회차 인원,만족도_평균점수,만족도_응답자수,6개월후_취업률_퍼센트,6개월후_취업률_기준인원
중앙HTA IT교육원,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층,"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-04,2024-09-25,1080,30,16,16,13.67,19,45.7,(15 명),6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
중앙HTA IT교육원,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층,"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",7회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-04-15,2024-11-08,1080,28,10,10,13.67,16,77.8,(9 명),6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
중앙HTA IT교육원,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층,"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",8회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-05-27,2024-12-19,1080,30,18,18,13.67,10,98.8,(12 명),6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
중앙HTA IT교육원,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층,"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",9회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-07-22,2025-02-14,1080,30,20,20,13.67,18,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
중앙HTA IT교육원,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층,"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",10회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-09-09,2025-04-03,1080,20,14,14,13.67,20,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
중앙HTA IT교육원,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층,"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",11회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-20,2025-08-12,1080,30,22,20,13.67,14,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
중앙HTA IT교육원,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층,"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",12회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-02-24,2025-09-08,1080,30,1,0,13.67,20,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,퍼블릭 클라우드 기반 DevSecOps 융합 인재 양성 과정,1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-06-26,2023-12-27,960,25,18,18,16.0,해당 정보 없음,98.9,(13 명),46.2,13
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,퍼블릭 클라우드 기반 DevSecOps 융합 인재 양성 과정,2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-08-03,2024-02-06,960,25,25,25,16.0,18,80.2,(18 명),47.1,17
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,퍼블릭 클라우드 기반 DevSecOps 융합 인재 양성 과정,3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-02-13,2024-08-12,960,25,18,18,16.0,25,90.1,(13 명),6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
